id,avtor,naslov,link,ocena,glasovi
777,Anne Morrow Lindbergh,Gift from the Sea,/book/show/77295.Gift_from_the_Sea,4.15,42768
99,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",/book/show/43763.Interview_with_the_Vampire,4.0,486493
275,Anne Rice,"The Vampire Lestat (The Vampire Chronicles, #2)",/book/show/43814.The_Vampire_Lestat,4.07,177500
515,Anne Rice,"The Witching Hour (Lives of the Mayfair Witches, #1)",/book/show/11901.The_Witching_Hour,4.11,102268
615,Anne Rice,"The Queen of the Damned (The Vampire Chronicles, #3)",/book/show/43758.The_Queen_of_the_Damned,3.89,137645
997,Anne Rice,"Memnoch the Devil (The Vampire Chronicles, #5)",/book/show/31338.Memnoch_the_Devil,3.75,74984
1595,Anne Rice,"The Vampire Armand (The Vampire Chronicles, #6)",/book/show/31332.The_Vampire_Armand,3.77,63757
1781,Anne Rice,The Mummy (Ramses the Damned #1),/book/show/43782.The_Mummy,3.83,42832
1938,Anne Rice,"The Tale of the Body Thief (The Vampire Chronicles, #4)",/book/show/31336.The_Tale_of_the_Body_Thief,3.73,79827
2006,Anne Rice,"Blackwood Farm (The Vampire Chronicles, #9)",/book/show/31337.Blackwood_Farm,3.86,30386
2033,Anne Rice,"Pandora (New Tales of the Vampires, #1)",/book/show/31343.Pandora,3.76,41439
2360,Anne Rice,"Blood And Gold (The Vampire Chronicles, #8)",/book/show/31341.Blood_And_Gold,3.9,32093
3555,Anne Rice,"Merrick (The Vampire Chronicles, #7)",/book/show/43781.Merrick,3.73,39001
3890,Anne Rice,"Taltos (Lives of the Mayfair Witches, #3)",/book/show/9804779-taltos,3.8,49128
1078,Anne Tyler,The Accidental Tourist,/book/show/60792.The_Accidental_Tourist,3.9,98648
2856,Anne Tyler,Breathing Lessons,/book/show/31181.Breathing_Lessons,3.67,24223
2167,Annette Curtis Klause,Blood and Chocolate,/book/show/30324.Blood_and_Chocolate,3.78,39162
2638,Annie Dillard,Pilgrim at Tinker Creek,/book/show/12527.Pilgrim_at_Tinker_Creek,4.08,22239
436,Annie Proulx,The Shipping News,/book/show/7354.The_Shipping_News,3.86,130553
357,Anonymous,القرآن الكريم,/book/show/646462._,4.35,57600
501,Anonymous,The Arabian Nights,/book/show/93101.The_Arabian_Nights,4.04,61472
752,Anonymous,Holy Bible: King James Version,/book/show/1923820.Holy_Bible,4.41,221357
833,Anonymous,Holy Bible: New International Version,/book/show/280111.Holy_Bible,4.59,63231
1388,Anonymous,The Epic of Gilgamesh,/book/show/19351.The_Epic_of_Gilgamesh,3.7,80724
2133,Anonymous,"The Holy Bible: New American Standard Version, NASB",/book/show/539387.The_Holy_Bible,4.6,4878
2771,Anonymous,ESV Study Bible,/book/show/5031805-esv-study-bible,4.78,12893
2912,Anonymous,Holy Bible: The New King James Version,/book/show/2284803.Holy_Bible,4.42,8293
3490,Anonymous,The New Oxford Annotated Bible: New Revised Standard Version,/book/show/203818.The_New_Oxford_Annotated_Bible,4.35,3342
3638,Anonymous,The Holy Bible: English Standard Version,/book/show/5883777-the-holy-bible,4.54,38598
3147,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly,/book/show/33313.Kitchen_Confidential,4.08,228108
83,Anthony Burgess,A Clockwork Orange,/book/show/41817486-a-clockwork-orange,3.99,602723
442,Anthony Doerr,All the Light We Cannot See,/book/show/18143977-all-the-light-we-cannot-see,4.33,1030997
